num,setup,punch,text,humor,type,connector,typeall,connectorall,nopair
370,Учёные скрестили крабовые палочки и,получили крабовые крестики.,Учёные скрестили крабовые палочки и получили крабовые крестики.,1,GP, setup,GP, setup,
370,Учёные скрестили крабовые палочки и,получили крабовые деликатесы.,Учёные скрестили крабовые палочки и получили крабовые деликатесы.,0,,,GP, setup,
371,"Если фраза: «Тебя только забыла спросить!» вас не оскорбляет, а радует, значит,",вы сидите на уроке в школе.,"Если фраза: «Тебя только забыла спросить!» вас не оскорбляет, а радует, значит, вы сидите на уроке в школе.",1,RL, setup,RL, setup,
371,"Если фраза: «Тебя только забыла спросить!» вас не оскорбляет, а радует, значит,",вы совсем потеряли чувство собственного достоинства.,"Если фраза: «Тебя только забыла спросить!» вас не оскорбляет, а радует, значит, вы совсем потеряли чувство собственного достоинства.",0,,,RL, setup,
372,"После подробного изучения дел на различных финансовых биржах Иван Иванович пришёл к выводу, что самое надёжное дело —",инвестировать деньги в тумбочку.,"После подробного изучения дел на различных финансовых биржах Иван Иванович пришёл к выводу, что самое надёжное дело — инвестировать деньги в тумбочку.",1,RL,,RL,,
372,"После подробного изучения дел на различных финансовых биржах Иван Иванович пришёл к выводу, что самое надёжное дело —",инвестировать деньги в недвижимость.,"После подробного изучения дел на различных финансовых биржах Иван Иванович пришёл к выводу, что самое надёжное дело — инвестировать деньги в недвижимость.",0,,,RL,,
373,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Гугол? ",— Сталин!,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Гугол? — Сталин!",1,C, setup,C, setup,
373,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Гугол? ",— Яндекс!,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Гугол? — Яндекс!",0,,,C, setup,
373,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Сталин? ",— Гугол!,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Сталин? — Гугол!",1,C, setup,C, setup,
373,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Яндекс? ",— Гугол!,"— Отгадай загадку: ты ему слово, он тебе ссылку? — Яндекс? — Гугол!",0,,,C, setup,
374,К вечеру,синоптики обещают потемнение.,К вечеру синоптики обещают потемнение.,1,RL,,RL,,
374,К вечеру,синоптики обещают потепление.,К вечеру синоптики обещают потепление.,0,,,RL,,
375,Приз в номинации «Самый несамостоятельный человек»,забрала мама победителя.,Приз в номинации «Самый несамостоятельный человек» забрала мама победителя.,1,RL,,RL,,
375,Приз в номинации «Самый несамостоятельный человек»,забрал ленивый победитель.,Приз в номинации «Самый несамостоятельный человек» забрал ленивый победитель.,0,,,RL,,
376,— У вас есть дикая утка?,"— Нет, но можем разозлить домашнюю.","— У вас есть дикая утка?
— Нет, но можем разозлить домашнюю.",1,RL, setup,RL, setup,
376,— У вас есть дикая утка?,"— Нет, но можем предложить домашнюю.","— У вас есть дикая утка?
— Нет, но можем предложить домашнюю.",0,,,RL, setup,
376,— У вас есть дикая утка?,"— Нет, но можем пожарить рябчика .","— У вас есть дикая утка?
— Нет, но можем пожарить рябчика.",0,,,RL, setup,
377,"Если корова утонет,",она будет давать топлёное молоко?,"Если корова утонет, она будет давать топлёное молоко?",1,C,,C,,
377,"Если корова утонет,",как её доставать со дна?,"Если корова утонет, как её доставать со дна?",0,,,C,,
378,"Сегодня миллионы простых москвичей вышли на улицы Москвы в знак того,",что им нужно на работу.,"Сегодня миллионы простых москвичей вышли на улицы Москвы в знак того, что им нужно на работу.",1,GP, setup,GP, setup,
378,"Сегодня миллионы простых москвичей вышли на улицы Москвы в знак того,",что они против решений правительства.,"Сегодня миллионы простых москвичей вышли на улицы Москвы в знак того, что они против решений правительства.",0,,,GP, setup,
379,"«Вася, ты выйдешь?» —",так весёлый милиционер весь вечер дразнил заключённого.,"«Вася, ты выйдешь?» — так весёлый милиционер весь вечер дразнил заключённого.",1,GP, setup,GP, setup,
379,"«Вася, ты выйдешь?» —",так весёлый школьник весь вечер дразнил наказанного.,"«Вася, ты выйдешь?» — так весёлый школьник весь вечер дразнил наказанного.",0,,,GP, setup,
380,Сын борца сумо всю жизнь,мечтал обнять отца.,Сын борца сумо всю жизнь мечтал обнять отца.,1,RL,,RL,,
380,Сын борца сумо всю жизнь,мечтал увидеть отца.,Сын борца сумо всю жизнь мечтал увидеть отца.,0,,,RL,,
381,На выставке технических новинок белорусский ноутбук «Зубр»,занял всё место.,На выставке технических новинок белорусский ноутбук «Зубр» занял всё место.,1,RL,,RL,,
381,На выставке технических новинок белорусский ноутбук «Зубр»,занял первое место.,На выставке технических новинок белорусский ноутбук «Зубр» занял первое место.,0,,,RL,,
382,"Парень во время драки вспомнил, чему его учил отец,",но умение коптить свинью ему никак не пригодилось.,"Парень во время драки вспомнил, чему его учил отец, но умение коптить свинью ему никак не пригодилось.",1,GP, setup,GP, setup,
382,"Парень во время драки вспомнил, чему его учил отец,",но умение стрелять из пистолета ему никак не пригодилось.,"Парень во время драки вспомнил, чему его учил отец, но умение стрелять из пистолета ему никак не пригодилось.",0,,,GP, setup,
383,В детстве вместо компьютера и Интернета у,меня было детство.,В детстве вместо компьютера и Интернета у меня было детство.,1,RL,,RL,,
383,В детстве вместо компьютера и Интернета у,меня был телевизор.,В детстве вместо компьютера и Интернета у меня был телевизор.,0,,,RL,,
384,"Мальчик понял, что мама его обманывает,",когда в третьем киндер-сюрпризе подряд ему попался желток и белок.,"Мальчик понял, что мама его обманывает, когда в третьем киндер-сюрпризе подряд ему попался желток и белок.",1,C,,C,,
384,"Мальчик понял, что мама его обманывает,",когда в третьем киндер-сюрпризе подряд ему попалось одно и то же.,"Мальчик понял, что мама его обманывает, когда в третьем киндер-сюрпризе подряд ему попалось одно и то же.",0,,,C,,
385,"Уступил я как-то дорогу «Ладе»,",и та рассыпалась в благодарностях.,"Уступил я как-то дорогу «Ладе», и та рассыпалась в благодарностях.",1,RL,,RL,,
385,"Уступил я как-то дорогу «Ладе»,",и та принесла чувственную благодарность.,"Уступил я как-то дорогу «Ладе», и та принесла чувственную благодарность.",0,,,RL,,
386,"Когда у меня ломаются наушники,",я начинаю слышать вокруг себя какие-то голоса.,"Когда у меня ломаются наушники, я начинаю слышать вокруг себя какие-то голоса.",1,RL,,RL,,
386,"Когда у меня ломаются наушники,",я начинаю слышать внутри себя какие-то голоса.,"Когда у меня ломаются наушники, я начинаю слышать внутри себя какие-то голоса.",0,,,RL,,
387,Три года колонии за экстремизм получил сантехник Петрович за выкрики: «Система прогнила!,Менять надо всю систему!»,Три года колонии за экстремизм получил сантехник Петрович за выкрики: «Система прогнила! Менять надо всю систему!»,1,RL,,RL,,
387,Три года колонии за экстремизм получил сантехник Петрович за выкрики: «Сантехника прогнила!,Менять надо все трубы!»,Три года колонии за экстремизм получил сантехник Петрович за выкрики: «Сантехника прогнила! Менять надо все трубы!»,0,,,RL,,
388,К визиту президента в больницу,завезли здоровых больных.,К визиту президента в больницу завезли здоровых больных.,1,RL,,RL,,
388,К визиту президента в больницу завезли,лекарства для больных.,К визиту президента в больницу завезли лекарства для больных.,0,,,RL,,
388,К визиту президента в больницу,завезли новое оборудование.,К визиту президента в больницу завезли новое оборудование.,0,,,RL,,
389,"Сын игрока в покер не может понять,",любит его отец или нет.,"Сын игрока в покер не может понять, любит его отец или нет.",1,RL,,RL,,
389,"Сын игрока в покер не может понять,",блефует его отец или нет.,"Сын игрока в покер не может понять, блефует его отец или нет.",0,,,RL,,
390,"Про свой почтовый адрес я помню только то,",что он короткий и легко запоминающийся.,"Про свой почтовый адрес я помню только то, что он короткий и легко запоминающийся.",1,C,,C,,
390,"Про свой почтовый адрес я помню только то,",что он начинается с улицы Ленина.,"Про свой почтовый адрес я помню только то, что он начинается с улицы Ленина.",0,,,C,,
391,"Будильник ненавидят в двух случаях: когда он звенит,",и когда он не прозвенел.,"Будильник ненавидят в двух случаях: когда он звенит, и когда он не прозвенел.",1,C,,C,,
391,"Будильник ненавидят в двух случаях: когда хочется спать,",и когда не хочется работать.,"Будильник ненавидят в двух случаях: когда хочется спать, и когда не хочется работать.",0,,,C,,
392,"Из мемуаров: «Я никогда не изменял ни жене, ни любовнице, ни другим своим женщинам»",.,"Из мемуаров: «Я никогда не изменял ни жене, ни любовнице, ни другим своим женщинам».",1,RL,,RL,,
392,"Из мемуаров: «Я никогда не изменял ни жене, ни бывшей, ни другим бывшим жёнам»",.,"Из мемуаров: «Я никогда не изменял ни жене, ни бывшей, ни другим бывшим жёнам».",0,,,RL,,
393,Доктор выходит из Мавзолея Ленина со словами: «Будет жить»,.,Доктор выходит из Мавзолея Ленина со словами: «Будет жить».,1,RL,,RL,,
393,Доктор выходит из Мавзолея Ленина со словами: «Великий человек»,.,Доктор выходит из Мавзолея Ленина со словами: «Великий человек».,0,,,RL,,
394,Вчера трое неизвестных напали на боксёра в тёмном переулке и отняли у него,две минуты времени.,Вчера трое неизвестных напали на боксёра в тёмном переулке и отняли у него две минуты времени.,1,GP, setup,GP, setup,
394,Вчера трое неизвестных напали на боксёра в тёмном переулке и отняли у него,часы и телефон.,Вчера трое неизвестных напали на боксёра в тёмном переулке и отняли у него часы и телефон.,0,,,GP, setup,
395,"Витя был такой жадный,",что из двух зол всегда выбирал большее.,"Витя был такой жадный, что из двух зол всегда выбирал большее.",1,C,,C,,
395,"Витя был такой жадный,",что из двух подарков всегда выбирал больший.,"Витя был такой жадный, что из двух подарков всегда выбирал больший.",0,,,C,,
396,"Друзья в социальных сетях, как шариковые ручки: 120 штук,",а только несколько пишут!,"Друзья в социальных сетях, как шариковые ручки: 120 штук, а только несколько пишут!",1,C,,C,,
396,"Друзья в социальных сетях, как безразличные люди: 120 штук,",а только несколько пишут!,"Друзья в социальных сетях, как безразличные люди: 120 штук, а только несколько пишут!",0,,,C,,
397,"Люди, которые говорят мне: «Что за отстой ты слушаешь?», должны постараться принять одну простую вещь:",цианид калия.,"Люди, которые говорят мне: «Что за отстой ты слушаешь?», должны постараться принять одну простую вещь: цианид калия.",1,GP, setup,GP, setup,
397,"Люди, которые говорят мне: «Что за отстой ты слушаешь?», должны постараться принять одну простую вещь:",разницу вкусов.,"Люди, которые говорят мне: «Что за отстой ты слушаешь?», должны постараться принять одну простую вещь: разницу вкусов.",0,,,GP, setup,
398,"«Я нашла вторую половинку!» — кричала Маша,",собирая трупы после взрыва.,"«Я нашла вторую половинку!» — кричала Маша, собирая трупы после взрыва.",1,GP, setup,GP, setup,
398,"«Я нашла вторую половинку!» — кричала Маша,",встретив любовь своей жизни.,"«Я нашла вторую половинку!» — кричала Маша, встретив любовь своей жизни.",0,,,GP, setup,
399,Пожарный Сидоров бездействовал: банк горел —,кредит гасился.,Пожарный Сидоров бездействовал: банк горел — кредит гасился.,1,C,,C,,
399,Пожарный Сидоров бездействовал: банк закрылся —,кредит погасился.,Пожарный Сидоров бездействовал: банк закрылся — кредит погасился.,0,,,C,,
400,"«Человек родился для счастья, как птица для полета!» —",любят позлорадствовать пингвины и страусы.,"«Человек родился для счастья, как птица для полета!» — любят позлорадствовать пингвины и страусы.",1,GP, setup,GP, setup,
400,"«Человек родился для счастья, как птица для полета!» —",любят повторять поэты и философы.,"«Человек родился для счастья, как птица для полета!» — любят повторять поэты и философы.",0,,,GP, setup,
401,"На перекрёстке столкнулись два крутых «Мерседеса». Присмотрелся: не, не крутые. ",Всмятку.,"На перекрёстке столкнулись два крутых «Мерседеса». Присмотрелся: не, не крутые. Всмятку.",1,GP, setup,GP, setup,
401,"На перекрёстке столкнулись два крутых «Мерседеса». Присмотрелся: не, не крутые. ",Старьё.,"На перекрёстке столкнулись два крутых «Мерседеса». Присмотрелся: не, не крутые. Старьё.",0,,,GP, setup,
402,Элли с Тотошкой всегда мечтали вернуться в Канзас.,Железного Дровосека же почему-то тянуло в Магнитогорск.,Элли с Тотошкой всегда мечтали вернуться в Канзас. Железного Дровосека же почему-то тянуло в Магнитогорск.,1,RL,,RL,,
402,Элли с Тотошкой всегда мечтали вернуться в Канзас.,Железного Дровосека же почему-то тянуло в Изумрудный город.,Элли с Тотошкой всегда мечтали вернуться в Канзас. Железного Дровосека же почему-то тянуло в Изумрудный город.,0,,,RL,,
403,"У каждого родителя всегда есть свои плюсы и минусы, как, впрочем,",и у любого другого источника питания.,"У каждого родителя всегда есть свои плюсы и минусы, как, впрочем, и у любого другого источника питания.",1,RL, setup,RL, setup,
403,"У каждого родителя всегда есть свои плюсы и минусы, как, впрочем,",и у любого другого человека.,"У каждого родителя всегда есть свои плюсы и минусы, как, впрочем, и у любого другого человека.",0,,,RL, setup,
404,"На соревнованиях по парусному спорту русские взяли золото, американцы — серебро, а сомалийцы —",заложников.,"На соревнованиях по парусному спорту русские взяли золото, американцы — серебро, а сомалийцы — заложников.",1,GP, setup,GP, setup,
404,"На соревнованиях по парусному спорту русские взяли золото, американцы — серебро, а сомалийцы —",бронзу.,"На соревнованиях по парусному спорту русские взяли золото, американцы — серебро, а сомалийцы — бронзу.",0,,,GP, setup,
405,Монашка несла свой крест,с грехом пополам.,Монашка несла свой крест с грехом пополам.,1,RL,,RL,,
405,Монашка несла свой крест,с горем пополам.,Монашка несла свой крест с горем пополам.,0,,,RL,,
406,Хочешь бесплатно получить запчасть от «Запорожца» —,иди за ним следом.,Хочешь бесплатно получить запчасть от «Запорожца» — иди за ним следом.,1,GP, setup,GP, setup,
406,Хочешь бесплатно получить запчасть от «Запорожца» —,участвуй в нашем конкурсе.,Хочешь бесплатно получить запчасть от «Запорожца» — участвуй в нашем конкурсе.,0,,,GP, setup,
407,"Ночью воры проникли в квартиру боксёра и вынесли всё: побои, страх,",боль и унижение.,"Ночью воры проникли в квартиру боксёра и вынесли всё: побои, страх, боль и унижение.",1,GP, setup,GP, setup,
407,"Ночью воры проникли в квартиру боксёра и вынесли всё: ценности, деньги,",ковры и телевизор.,"Ночью воры проникли в квартиру боксёра и вынесли всё: ценности, деньги, ковры и телевизор.",0,,,GP, setup,
408,"Чтобы утром вовремя вставать, ставить будильник надо не на час раньше,",а на шкаф.,"Чтобы утром вовремя вставать, ставить будильник надо не на час раньше, а на шкаф.",1,GP, setup,GP, setup,
408,"Чтобы утром вовремя вставать, ставить будильник надо не на час раньше,",а на два.,"Чтобы утром вовремя вставать, ставить будильник надо не на час раньше, а на два.",0,,,GP, setup,
409,"Шрёдингер ходил по комнате в поисках нагадившего котёнка,",а тот сидел в коробке ни жив ни мёртв.,"Шрёдингер ходил по комнате в поисках нагадившего котёнка, а тот сидел в коробке ни жив ни мёртв.",1,RL,,RL,,
409,"Шрёдингер ходил по комнате в поисках нагадившего котёнка,",а тот сидел в коробке с сердцем в пятках.,"Шрёдингер ходил по комнате в поисках нагадившего котёнка, а тот сидел в коробке с сердцем в пятках.",0,,,RL,,
410,С целью остановить утечку мозгов страны принято решение всем выезжающим выносить,мозг на таможне…,С целью остановить утечку мозгов страны принято решение всем выезжающим выносить мозг на таможне…,1,RL, setup,RL, setup,
410,С целью остановить утечку мозгов страны принято решение всем желающим уехать,предлагать перспективную работу…,С целью остановить утечку мозгов страны принято решение всем желающим уехать предлагать перспективную работу…,0,,,RL, setup,
411,"Два русских сувенира — матрёшка и водка — удивительно похожи: открываешь первую, а там и вторая,",и третья.,"Два русских сувенира — матрёшка и водка — удивительно похожи: открываешь первую, а там и вторая, и третья.",1,C,,C,,
411,"Два русских сувенира — матрёшка и водка — удивительно похожи: их любят туристы,",покупают чаще всего.,"Два русских сувенира — матрёшка и водка — удивительно похожи: их любят туристы, покупают чаще всего.",0,,,C,,
412,"Нет ничего более заразительного,",чем смех туберкулёзника.,"Нет ничего более заразительного, чем смех туберкулёзника.",1,C,,C,,
412,"Нет ничего более заразительного,",чем смех лучшего друга.,"Нет ничего более заразительного, чем смех лучшего друга.",0,,,C,,
413,На соревнованиях по плаванью электрик Сидоров,замкнул тройку призёров.,На соревнованиях по плаванью электрик Сидоров замкнул тройку призёров.,1,RL,,RL,,
413,На соревнованиях по плаванью студент Сидоров,замкнул тройку призёров.,На соревнованиях по плаванью студент Сидоров замкнул тройку призёров.,0,,,RL,,
413,На соревнованиях по плаванью электрик Сидоров вошёл,в тройку призёров.,На соревнованиях по плаванью электрик Сидоров вошёл в тройку призёров.,0,,,RL,,
414,Улучшать качество жизни в стране чиновники всегда,начинают с себя.,Улучшать качество жизни в стране чиновники всегда начинают с себя.,1,RL,,RL,,
415,Бороться с коррупцией в стране чиновники всегда,начинают с себя.,Бороться с коррупцией в стране чиновники всегда начинают с себя.,0,,,RL,,
416,Воспитанный человек никогда не возьмёт чужое,в присутствии посторонних.,Воспитанный человек никогда не возьмёт чужое в присутствии посторонних.,1,GP, setup,GP, setup,
417,Вороватый человек никогда не возьмёт чужое,в присутствии посторонних.,Вороватый человек никогда не возьмёт чужое в присутствии посторонних.,0,,,GP, setup,
418,"Никогда не понимал людей,",которые не говорят по-русски.,"Никогда не понимал людей, которые не говорят по-русски.",1,RL,,RL,,
418,"Никогда не понимал людей,",которые не соглашаются со мной.,"Никогда не понимал людей, которые не соглашаются со мной.",0,,,RL,,
419,Два парня украли в магазине календарь и,получили по полгода.,Два парня украли в магазине календарь и получили по полгода.,1,RL,,RL,,
419,Два парня украли в магазине календарь и,получили по уголовке.,Два парня украли в магазине календарь и получили по уголовке.,0,,,RL,,
420,"Лучше сто раз посмотреть телевизор, чем один раз то,",что по нему показывают.,"Лучше сто раз посмотреть телевизор, чем один раз то, что по нему показывают.",1,GP, setup,GP, setup,
420,"Лучше сто раз посмотреть телевизор, чем один раз то,",что есть в интернете.,"Лучше сто раз посмотреть телевизор, чем один раз то, что есть в интернете.",0,,,GP, setup,
421,"С шампанским, как со шпионом: главное —",не болтать!,"С шампанским, как со шпионом: главное — не болтать!",1,C,,C,,
421,"С шампанским, как с пивом: главное —",не болтать!,"С шампанским, как с пивом: главное — не болтать!",0,,,C,,
422,"«Забыл, как называется» —",отличное название для таблеток от склероза.,"«Забыл, как называется» — отличное название для таблеток от склероза.",1,C,,C,,
423,«Против забывания» —,отличное название для таблеток от склероза.,«Против забывания» — отличное название для таблеток от склероза.,0,,,C,,
424,"Один раз я был в таких серьёзных отношениях,",что мы даже не улыбнулись ни разу.,"Один раз я был в таких серьёзных отношениях, что мы даже не улыбнулись ни разу.",1,GP, setup,GP, setup,
424,"Один раз я был в таких плохих отношениях,",что мы даже не улыбнулись ни разу.,"Один раз я был в таких плохих отношениях, что мы даже не улыбнулись ни разу.",0,,,GP, setup,
425,"«Доктор, а когда вы меня наконец выпишите?» —",спросило дешёвое лекарство.,"«Доктор, а когда вы меня наконец выпишите?» — спросило дешёвое лекарство.",1,GP, setup,GP, setup,
425,"«Доктор, а когда вы меня наконец выпишите?» —",спросил уставший пациент.,"«Доктор, а когда вы меня наконец выпишите?» — спросил уставший пациент.",0,,,GP, setup,
426,«С наступающим Вас!» —,поздравляли друг друга грабли.,«С наступающим Вас!» — поздравляли друг друга грабли.,1,GP, setup,GP, setup,
426,«С наступающим Вас!» —,поздравляли друг друга соседи.,«С наступающим Вас!» — поздравляли друг друга соседи.,0,,,GP, setup,
427,"Такое подозрение, что старая русская поговорка «дуракам закон не писан» и современное понятие «депутатская неприкосновенность»",как-то связаны.,"Такое подозрение, что старая русская поговорка «дуракам закон не писан» и современное понятие «депутатская неприкосновенность» как-то связаны.",1,RL, setup,RL, setup,
427,"Такое подозрение, что старая русская поговорка «дуракам закон не писан» и современное понятие «идиотизм»",как-то связаны.,"Такое подозрение, что старая русская поговорка «дуракам закон не писан» и современное понятие «идиотизм» как-то связаны.",0,,,RL, setup,
428,Плохая новость:,в 2013 году каждая пятница будет пятница тринадцатого.,Плохая новость: в 2013 году каждая пятница будет пятница тринадцатого.,1,RL,,RL,,
428,Плохая новость:,в 2020 году каждая пятница будет пятница тринадцатого.,Плохая новость: в 2020 году каждая пятница будет пятница тринадцатого.,0,,,RL,,
429,"По современному этикету, в левой руке держат вилку, в правой —",мышку.,"По современному этикету, в левой руке держат вилку, в правой — мышку.",1,GP, setup,GP, setup,
429,"По современному этикету, в левой руке держат вилку, в правой —",ложку.,"По современному этикету, в левой руке держат вилку, в правой — ложку.",0,,,GP, setup,
430,Российские специалисты успешно запустили очередной космический спутник связи в,глубины Тихого океана.,Российские специалисты успешно запустили очередной космический спутник связи в глубины Тихого океана.,1,GP, setup,GP, setup,
430,Российские специалисты успешно запустили очередной космический спутник связи в,галактику Млечный Путь.,Российские специалисты успешно запустили очередной космический спутник связи в галактику Млечный Путь.,0,,,GP, setup,
431,"Известный экстрасенс, когда напьётся,",звонит своей будущей.,"Известный экстрасенс, когда напьётся, звонит своей будущей.",1,RL,,RL,,
431,"Известный экстрасенс, когда напьётся,",звонит своей бывшей.,"Известный экстрасенс, когда напьётся, звонит своей бывшей.",0,,,RL,,
432,"Что американцу смешно, то русскому —",зарплата.,"Что американцу смешно, то русскому — зарплата.",1,C,,C,,
432,"Что американцу смешно, то русскому —",смерть.,"Что американцу смешно, то русскому — смерть.",0,,,C,,
433,"Деньги, выделенные из бюджета на подготовку к Олимпиаде в Сочи, расхищают не как обычно, а быстрее, выше,",сильнее!,"Деньги, выделенные из бюджета на подготовку к Олимпиаде в Сочи, расхищают не как обычно, а быстрее, выше, сильнее!",1,C,,C,,
433,"Деньги, выделенные из бюджета на подготовку к Олимпиаде в Сочи, расхищают не как обычно,",а гораздо наглее и масштабнее!,"Деньги, выделенные из бюджета на подготовку к Олимпиаде в Сочи, расхищают не как обычно, а гораздо наглее и масштабнее!",0,,,C,,
434,"Пушкин был первым рэпером в истории: рифмовал,",имел африканские корни и умер в перестрелке.,"Пушкин был первым рэпером в истории: рифмовал, имел африканские корни и умер в перестрелке.",1,C,,C,,
434,"Пушкин был первым поэтом в истории: рифмовал,",имел африканские корни и умер в перестрелке.,"Пушкин был первым поэтом в истории: рифмовал, имел африканские корни и умер в перестрелке.",0,,,C,,
435,"Если вы будете каждый месяц откладывать понемногу, то уже через год удивитесь,",как мало накопилось.,"Если вы будете каждый месяц откладывать понемногу, то уже через год удивитесь, как мало накопилось.",1,GP, setup,GP, setup,
435,"Если вы будете каждый месяц откладывать понемногу, то уже через год удивитесь,",как много накопилось.,"Если вы будете каждый месяц откладывать понемногу, то уже через год удивитесь, как много накопилось.",0,,,GP, setup,
436,"Если вас незаслуженно обидели,",вернитесь и заслужите.,"Если вас незаслуженно обидели, вернитесь и заслужите.",1,C,,C,,
436,"Если вас незаслуженно обидели,",вернитесь и разберитесь.,"Если вас незаслуженно обидели, вернитесь и разберитесь.",0,,,C,,
437,Одному электрику в прошлый день,рождения стукнуло 220.,Одному электрику в прошлый день рождения стукнуло 220.,1,GP, setup,GP, setup,
437,Одному электрику в прошлый день,рождения стукнуло 22.,Одному электрику в прошлый день рождения стукнуло 22.,0,,,GP, setup,
437,Одному электрику в прошлый день,рождения стукнуло 20.,Одному электрику в прошлый день рождения стукнуло 20.,0,,,GP, setup,
438,Замечательная зима,выдалась этой весной.,Замечательная зима выдалась этой весной.,1,GP, setup,GP, setup,
438,Замечательная зима выдалась,в этом году.,Замечательная зима выдалась в этом году.,0,,,GP, setup,
438,Замечательная погода,выдалась этой весной.,Замечательная погода выдалась этой весной.,0,,,GP, setup,
439,В Петербурге можно увидеть на афише зачёркнутое название балета «Спартак» и написанное вместо него «Зенит»,.,В Петербурге можно увидеть на афише зачёркнутое название балета «Спартак» и написанное вместо него «Зенит».,1,RL, setup,RL, setup,nopair
439,В Петербурге можно увидеть на афише зачёркнутое название балета «Спартак» и написанное вместо него «Щелкунчик»,.,В Петербурге можно увидеть на афише зачёркнутое название балета «Спартак» и написанное вместо него «Щелкунчик».,0,,,RL, setup,
439,В Петербурге можно увидеть на афише зачёркнутое название балета «Спартак» и написанное вместо него «Кармен»,.,В Петербурге можно увидеть на афише зачёркнутое название балета «Спартак» и написанное вместо него «Кармен».,0,,,RL, setup,
440,"Немногие знают,",что в Ватикане работает магазин одежды для будущих пап.,"Немногие знают, что в Ватикане работает магазин одежды для будущих пап.",1,RL,,RL,,
440,"Немногие знают,",что в Ватикане работает магазин одежды для будущих мам.,"Немногие знают, что в Ватикане работает магазин одежды для будущих мам.",0,,,RL,,
441,"Чтобы найти с кем-то общий язык,",иногда надо уметь вовремя прикусить свой.,"Чтобы найти с кем-то общий язык, иногда надо уметь вовремя прикусить свой.",1,C, setup,C, setup,
441,"Чтобы найти с кем-то общий язык,",иногда надо уметь вовремя начать слушать.,"Чтобы найти с кем-то общий язык, иногда надо уметь вовремя начать слушать.",0,,,C, setup,
441,"Чтобы найти с кем-то общий язык,",иногда надо уметь вовремя закрыть рот.,"Чтобы найти с кем-то общий язык, иногда надо уметь вовремя закрыть рот.",0,,,C, setup,
